"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2014年8月20日","2,240.21","2,241.66","2,248.94","2,233.89","16.77B","-0.23%"
"2014年8月19日","2,245.33","2,242.34","2,246.02","2,227.92","17.77B","0.26%"
"2014年8月18日","2,239.47","2,229.80","2,242.04","2,228.13","16.39B","0.57%"
"2014年8月15日","2,226.73","2,207.23","2,230.87","2,203.24","15.00B","0.92%"
"2014年8月14日","2,206.47","2,221.54","2,230.89","2,204.38","17.01B","-0.74%"
"2014年8月13日","2,222.88","2,223.05","2,230.99","2,202.44","17.81B","0.06%"
"2014年8月12日","2,221.59","2,222.70","2,222.98","2,210.00","15.48B","-0.14%"
"2014年8月11日","2,224.65","2,199.43","2,225.96","2,198.31","15.06B","1.38%"
"2014年8月8日","2,194.42","2,188.71","2,199.58","2,180.60","13.52B","0.31%"
"2014年8月7日","2,187.67","2,216.66","2,220.57","2,185.76","17.52B","-1.34%"
"2014年8月6日","2,217.46","2,212.00","2,223.89","2,192.99","17.77B","-0.11%"
"2014年8月5日","2,219.95","2,224.63","2,226.84","2,206.85","17.54B","-0.15%"
"2014年8月4日","2,223.33","2,190.04","2,224.07","2,186.92","17.41B","1.74%"
"2014年8月1日","2,185.30","2,194.17","2,218.79","2,184.64","19.15B","-0.74%"
"2014年7月31日","2,201.56","2,179.54","2,202.13","2,173.90","16.47B","0.93%"
"2014年7月30日","2,181.24","2,178.18","2,194.57","2,177.24","18.49B","-0.09%"
"2014年7月29日","2,183.19","2,179.83","2,193.52","2,172.10","20.03B","0.24%"
"2014年7月28日","2,177.95","2,135.25","2,181.50","2,135.25","23.62B","2.41%"
"2014年7月25日","2,126.61","2,108.71","2,127.22","2,106.71","14.25B","1.02%"
"2014年7月24日","2,105.06","2,079.63","2,107.95","2,079.63","16.57B","1.28%"
"2014年7月23日","2,078.49","2,074.20","2,088.19","2,072.23","13.73B","0.15%"
"2014年7月22日","2,075.48","2,050.50","2,078.09","2,049.81","12.32B","1.02%"
"2014年7月21日","2,054.48","2,057.77","2,061.82","2,049.18","9.39B","-0.22%"
"2014年7月18日","2,059.07","2,047.50","2,067.23","2,046.00","10.66B","0.17%"
"2014年7月17日","2,055.59","2,062.89","2,062.89","2,046.19","10.45B","-0.57%"
"2014年7月16日","2,067.28","2,068.34","2,075.49","2,061.57","13.71B","-0.15%"
"2014年7月15日","2,070.36","2,065.90","2,070.36","2,059.68","12.45B","0.18%"
"2014年7月14日","2,066.65","2,047.74","2,067.34","2,044.90","11.51B","0.96%"
"2014年7月11日","2,046.96","2,033.87","2,051.74","2,033.00","10.51B","0.42%"
"2014年7月10日","2,038.34","2,036.54","2,045.53","2,034.96","9.79B","-0.01%"
"2014年7月9日","2,038.61","2,061.63","2,062.47","2,037.60","11.33B","-1.23%"
"2014年7月8日","2,064.02","2,058.13","2,064.43","2,047.20","9.51B","0.20%"
"2014年7月7日","2,059.93","2,058.13","2,064.04","2,050.89","9.72B","0.03%"
"2014年7月4日","2,059.37","2,062.36","2,065.08","2,054.22","10.50B","-0.19%"
"2014年7月3日","2,063.23","2,051.63","2,066.64","2,048.08","12.29B","0.19%"
"2014年7月2日","2,059.42","2,049.48","2,060.60","2,044.04","10.96B","0.44%"
"2014年7月1日","2,050.38","2,051.22","2,052.63","2,041.94","9.85B","0.10%"
"2014年6月30日","2,048.33","2,038.61","2,052.34","2,038.53","9.67B","0.58%"
"2014年6月27日","2,036.51","2,031.91","2,043.98","2,025.07","9.76B","-0.11%"
"2014年6月26日","2,038.68","2,025.66","2,040.75","2,025.31","8.10B","0.65%"
"2014年6月25日","2,025.50","2,030.43","2,030.62","2,018.36","6.75B","-0.41%"
"2014年6月24日","2,033.93","2,023.70","2,034.71","2,021.75","7.12B","0.47%"
"2014年6月23日","2,024.37","2,026.23","2,033.32","2,022.92","7.05B","-0.11%"
"2014年6月20日","2,026.67","2,013.41","2,027.15","2,010.53","6.72B","0.15%"
"2014年6月19日","2,023.73","2,054.62","2,059.25","2,017.65","9.29B","-1.55%"
"2014年6月18日","2,055.52","2,064.38","2,066.91","2,051.75","8.72B","-0.54%"
"2014年6月17日","2,066.70","2,080.48","2,080.48","2,064.67","8.78B","-0.92%"
"2014年6月16日","2,085.98","2,070.70","2,087.32","2,069.44","9.59B","0.74%"
"2014年6月13日","2,070.71","2,049.21","2,073.60","2,048.62","9.72B","0.93%"
"2014年6月12日","2,051.71","2,051.58","2,057.10","2,045.96","8.17B","-0.16%"
"2014年6月11日","2,054.95","2,049.13","2,056.63","2,045.41","7.44B","0.12%"
"2014年6月10日","2,052.53","2,033.21","2,052.77","2,026.39","7.96B","1.08%"
"2014年6月9日","2,030.50","2,024.94","2,045.26","2,023.20","6.48B","0.03%"
"2014年6月6日","2,029.96","2,040.86","2,041.57","2,022.16","6.60B","-0.54%"
"2014年6月5日","2,040.88","2,019.44","2,041.70","2,016.17","6.79B","0.79%"
"2014年6月4日","2,024.83","2,037.99","2,038.48","2,012.91","7.24B","-0.66%"
"2014年6月3日","2,038.31","2,039.20","2,049.58","2,037.30","7.16B","-0.04%"
"2014年5月30日","2,039.21","2,040.39","2,046.96","2,031.37","7.51B","-0.07%"
"2014年5月29日","2,040.60","2,051.84","2,057.08","2,039.24","8.12B","-0.47%"
"2014年5月28日","2,050.23","2,034.56","2,052.66","2,029.34","8.13B","0.77%"
"2014年5月27日","2,034.57","2,039.79","2,044.15","2,032.84","6.76B","-0.34%"
"2014年5月26日","2,041.48","2,042.03","2,045.38","2,035.09","7.03B","0.34%"
"2014年5月23日","2,034.57","2,020.11","2,034.57","2,017.74","6.35B","0.66%"
"2014年5月22日","2,021.29","2,023.15","2,041.96","2,018.88","7.47B","-0.18%"
"2014年5月21日","2,024.95","2,001.31","2,025.19","1,991.06","6.18B","0.84%"
"2014年5月20日","2,008.12","2,011.85","2,018.16","2,002.76","6.13B","0.15%"
"2014年5月19日","2,005.18","2,023.01","2,023.27","1,996.01","6.53B","-1.05%"
"2014年5月16日","2,026.50","2,023.60","2,027.76","2,012.69","6.64B","0.08%"
"2014年5月15日","2,024.97","2,044.38","2,047.32","2,022.86","7.58B","-1.12%"
"2014年5月14日","2,047.91","2,049.27","2,056.57","2,042.74","7.20B","-0.14%"
"2014年5月13日","2,050.73","2,055.08","2,061.06","2,043.55","9.72B","-0.10%"
"2014年5月12日","2,052.87","2,022.93","2,055.51","2,016.64","11.57B","2.08%"
"2014年5月9日","2,011.13","2,016.50","2,020.45","2,001.30","7.62B","-0.21%"
"2014年5月8日","2,015.27","2,006.85","2,036.94","2,005.69","7.79B","0.26%"
"2014年5月7日","2,010.08","2,023.15","2,024.63","2,008.45","7.44B","-0.89%"
"2014年5月6日","2,028.04","2,024.26","2,038.70","2,021.49","7.46B","0.03%"
"2014年5月5日","2,027.35","2,022.18","2,028.96","2,007.35","7.99B","0.05%"
"2014年4月30日","2,026.36","2,020.44","2,029.54","2,016.58","7.45B","0.30%"
"2014年4月29日","2,020.34","2,001.90","2,021.68","1,997.64","7.62B","0.84%"
"2014年4月28日","2,003.49","2,033.34","2,035.99","2,000.14","8.98B","-1.62%"
"2014年4月25日","2,036.52","2,060.54","2,065.64","2,035.57","9.30B","-1.00%"
"2014年4月24日","2,057.03","2,064.16","2,075.76","2,056.19","7.82B","-0.50%"
"2014年4月23日","2,067.38","2,068.08","2,076.35","2,059.11","7.85B","-0.26%"
"2014年4月22日","2,072.83","2,062.79","2,073.66","2,047.33","9.87B","0.34%"
"2014年4月21日","2,065.83","2,085.98","2,103.08","2,065.23","9.64B","-1.52%"
"2014年4月18日","2,097.75","2,091.48","2,099.64","2,081.18","8.82B","-0.05%"
"2014年4月17日","2,098.88","2,108.95","2,110.72","2,095.71","8.99B","-0.30%"
"2014年4月16日","2,105.12","2,097.21","2,112.05","2,092.16","8.94B","0.17%"
"2014年4月15日","2,101.60","2,125.90","2,125.90","2,098.15","10.75B","-1.40%"
"2014年4月14日","2,131.54","2,127.41","2,134.43","2,116.61","10.21B","0.05%"
"2014年4月11日","2,130.54","2,130.37","2,138.65","2,120.18","13.18B","-0.18%"
"2014年4月10日","2,134.30","2,105.88","2,146.67","2,098.08","15.68B","1.38%"
"2014年4月9日","2,105.24","2,100.65","2,108.75","2,095.64","10.53B","0.33%"
"2014年4月8日","2,098.28","2,054.53","2,102.45","2,052.90","13.34B","1.92%"
"2014年4月4日","2,058.83","2,037.55","2,060.10","2,035.22","8.32B","0.74%"
"2014年4月3日","2,043.70","2,063.50","2,066.01","2,037.45","10.86B","-0.74%"
"2014年4月2日","2,058.99","2,049.42","2,060.78","2,046.74","10.27B","0.56%"
"2014年4月1日","2,047.46","2,031.00","2,050.68","2,028.10","8.33B","0.70%"
"2014年3月31日","2,033.31","2,043.05","2,048.13","2,024.19","9.44B","-0.41%"
"2014年3月28日","2,041.71","2,046.85","2,060.13","2,035.24","12.17B","-0.24%"
"2014年3月27日","2,046.59","2,060.81","2,073.98","2,042.71","11.91B","-0.83%"
"2014年3月26日","2,063.67","2,070.57","2,074.57","2,057.65","10.26B","-0.18%"
"2014年3月25日","2,067.31","2,063.32","2,079.55","2,057.49","13.18B","0.05%"
"2014年3月24日","2,066.28","2,050.83","2,074.06","2,043.33","14.77B","0.91%"
"2014年3月21日","2,047.62","1,987.68","2,052.47","1,986.07","14.45B","2.72%"
"2014年3月20日","1,993.48","2,017.22","2,030.85","1,993.00","11.03B","-1.40%"
"2014年3月19日","2,021.73","2,019.98","2,022.18","2,002.44","9.52B","-0.17%"
"2014年3月18日","2,025.20","2,026.22","2,034.92","2,020.41","9.68B","0.08%"
"2014年3月17日","2,023.67","2,009.88","2,024.37","1,999.25","8.63B","0.96%"
"2014年3月14日","2,004.34","2,008.82","2,017.91","1,990.98","8.78B","-0.73%"
"2014年3月13日","2,019.11","2,000.69","2,029.12","1,996.53","10.10B","1.07%"
"2014年3月12日","1,997.69","1,996.24","2,011.06","1,974.38","10.14B","-0.17%"
"2014年3月11日","2,001.16","1,994.42","2,008.07","1,985.60","9.27B","0.11%"
"2014年3月10日","1,999.06","2,042.35","2,042.63","1,995.55","11.57B","-2.86%"
"2014年3月7日","2,057.91","2,058.38","2,079.49","2,050.47","10.37B","-0.08%"
"2014年3月6日","2,059.58","2,050.03","2,065.79","2,030.95","10.93B","0.32%"
"2014年3月5日","2,053.08","2,073.29","2,074.81","2,050.18","10.77B","-0.89%"
"2014年3月4日","2,071.47","2,068.11","2,074.03","2,050.12","11.59B","-0.18%"
"2014年3月3日","2,075.23","2,052.08","2,078.33","2,047.07","12.75B","0.92%"
"2014年2月28日","2,056.30","2,040.62","2,058.49","2,020.93","11.16B","0.44%"
"2014年2月27日","2,047.35","2,045.10","2,068.31","2,036.39","13.22B","0.30%"
"2014年2月26日","2,041.25","2,026.61","2,041.63","2,014.38","11.01B","0.35%"
"2014年2月25日","2,034.22","2,077.28","2,087.62","2,026.54","14.01B","-2.05%"
"2014年2月24日","2,076.69","2,099.72","2,099.72","2,058.79","12.36B","-1.75%"
"2014年2月21日","2,113.69","2,131.59","2,132.70","2,098.33","11.77B","-1.17%"
"2014年2月20日","2,138.78","2,152.89","2,177.98","2,136.48","15.71B","-0.18%"
"2014年2月19日","2,142.55","2,116.92","2,152.96","2,111.17","15.13B","1.11%"
"2014年2月18日","2,119.07","2,134.14","2,134.14","2,113.13","14.29B","-0.77%"
"2014年2月17日","2,135.41","2,124.88","2,136.45","2,117.69","14.02B","0.92%"
"2014年2月14日","2,115.85","2,097.32","2,116.19","2,095.09","11.15B","0.83%"
"2014年2月13日","2,098.40","2,106.93","2,122.83","2,096.97","14.65B","-0.55%"
"2014年2月12日","2,109.96","2,103.83","2,110.90","2,096.51","12.63B","0.30%"
"2014年2月11日","2,103.67","2,086.18","2,111.06","2,082.52","14.22B","0.84%"
"2014年2月10日","2,086.07","2,049.98","2,087.97","2,049.98","12.43B","2.03%"
"2014年2月7日","2,044.50","2,022.32","2,044.73","2,014.70","7.36B","0.56%"
"2014年1月30日","2,033.08","2,045.93","2,045.93","2,031.47","6.26B","-0.82%"
"2014年1月29日","2,049.91","2,042.18","2,051.58","2,039.77","7.39B","0.56%"
"2014年1月28日","2,038.51","2,036.40","2,047.13","2,026.99","7.25B","0.26%"
"2014年1月27日","2,033.30","2,044.27","2,044.85","2,029.63","8.88B","-1.03%"
"2014年1月24日","2,054.39","2,037.67","2,060.99","2,034.45","9.29B","0.60%"
"2014年1月23日","2,042.18","2,048.33","2,052.53","2,039.05","8.42B","-0.47%"
"2014年1月22日","2,051.75","2,009.97","2,052.34","2,008.93","9.89B","2.16%"
"2014年1月21日","2,008.31","1,992.02","2,014.15","1,992.02","5.98B","0.86%"
"2014年1月20日","1,991.25","2,001.89","2,005.94","1,984.82","5.63B","-0.68%"
"2014年1月17日","2,004.95","2,017.52","2,017.87","2,001.33","6.73B","-0.93%"
"2014年1月16日","2,023.70","2,022.54","2,034.71","2,014.41","7.28B","0.02%"
"2014年1月15日","2,023.35","2,024.23","2,027.41","2,010.20","6.74B","-0.17%"
"2014年1月14日","2,026.84","2,007.16","2,027.43","2,001.14","7.04B","0.86%"
"2014年1月13日","2,009.56","2,014.98","2,027.18","2,000.40","6.65B","-0.19%"
"2014年1月10日","2,013.30","2,023.54","2,029.30","2,008.01","7.56B","-0.71%"
"2014年1月9日","2,027.62","2,041.77","2,057.20","2,026.45","7.59B","-0.82%"
"2014年1月8日","2,044.34","2,047.26","2,062.95","2,037.11","7.16B","-0.15%"
"2014年1月7日","2,047.32","2,034.22","2,052.28","2,029.25","6.34B","0.08%"
"2014年1月6日","2,045.71","2,078.68","2,078.68","2,034.01","8.96B","-1.80%"
"2014年1月3日","2,083.14","2,101.54","2,102.17","2,075.90","8.45B","-1.24%"
"2014年1月2日","2,109.39","2,112.13","2,113.11","2,101.02","6.85B","-0.31%"
"2013年12月31日","2,115.98","2,090.68","2,120.27","2,087.42","8.05B","0.88%"
"2013年12月30日","2,097.53","2,108.88","2,112.01","2,095.06","7.41B","-0.18%"
"2013年12月27日","2,101.25","2,074.59","2,110.36","2,069.59","7.68B","1.36%"
"2013年12月26日","2,073.10","2,102.66","2,102.66","2,070.55","7.85B","-1.58%"
"2013年12月25日","2,106.35","2,095.02","2,107.23","2,088.30","6.51B","0.64%"
"2013年12月24日","2,092.91","2,094.07","2,111.81","2,079.81","7.03B","0.15%"
"2013年12月23日","2,089.71","2,089.54","2,099.52","2,068.54","6.81B","0.24%"
"2013年12月20日","2,084.79","2,128.37","2,131.74","2,082.85","8.68B","-2.02%"
"2013年12月19日","2,127.79","2,153.67","2,159.14","2,126.25","7.31B","-0.95%"
"2013年12月18日","2,148.29","2,150.41","2,156.59","2,142.62","6.42B","-0.13%"
"2013年12月17日","2,151.08","2,161.54","2,165.54","2,146.31","7.86B","-0.45%"
"2013年12月16日","2,160.86","2,197.23","2,201.70","2,159.99","10.14B","-1.60%"
"2013年12月13日","2,196.07","2,188.26","2,204.64","2,183.84","8.51B","-0.31%"
"2013年12月12日","2,202.80","2,199.32","2,214.55","2,194.90","8.61B","-0.06%"
"2013年12月11日","2,204.17","2,228.63","2,228.63","2,193.16","10.95B","-1.49%"
"2013年12月10日","2,237.49","2,239.86","2,250.50","2,231.68","10.90B","-0.03%"
"2013年12月9日","2,238.20","2,241.79","2,249.17","2,231.73","9.33B","0.05%"
"2013年12月6日","2,237.11","2,242.56","2,248.15","2,228.63","10.37B","-0.44%"
"2013年12月5日","2,247.06","2,252.72","2,255.26","2,239.14","12.20B","-0.21%"
"2013年12月4日","2,251.76","2,219.97","2,260.87","2,215.92","15.73B","1.31%"
"2013年12月3日","2,222.67","2,196.82","2,227.92","2,193.25","11.35B","0.69%"
"2013年12月2日","2,207.37","2,203.12","2,231.92","2,172.63","17.43B","-0.59%"
"2013年11月29日","2,220.50","2,221.62","2,224.94","2,212.26","10.70B","0.05%"
"2013年11月28日","2,219.37","2,204.38","2,234.39","2,202.62","13.45B","0.83%"
"2013年11月27日","2,201.07","2,181.73","2,207.62","2,176.85","11.54B","0.82%"
"2013年11月26日","2,183.07","2,184.33","2,192.58","2,176.18","10.05B","-0.14%"
"2013年11月25日","2,186.12","2,186.06","2,209.15","2,181.42","10.83B","-0.47%"
"2013年11月22日","2,196.38","2,206.47","2,211.07","2,188.77","11.39B","-0.43%"
"2013年11月21日","2,205.77","2,197.01","2,206.53","2,177.74","13.72B","-0.04%"
"2013年11月20日","2,206.61","2,201.47","2,207.10","2,186.64","11.90B","0.62%"
"2013年11月19日","2,193.12","2,198.32","2,203.30","2,186.11","12.51B","-0.19%"
"2013年11月18日","2,197.22","2,147.37","2,198.32","2,143.77","15.75B","2.87%"
"2013年11月15日","2,135.83","2,100.90","2,153.21","2,100.79","12.59B","1.68%"
"2013年11月14日","2,100.51","2,087.12","2,102.38","2,078.99","8.38B","0.60%"
"2013年11月13日","2,087.94","2,117.89","2,117.91","2,086.01","8.83B","-1.83%"
"2013年11月12日","2,126.77","2,110.72","2,127.94","2,108.40","7.94B","0.82%"
"2013年11月11日","2,109.47","2,103.30","2,117.28","2,093.63","6.97B","0.16%"
"2013年11月8日","2,106.13","2,120.92","2,128.58","2,103.51","8.31B","-1.09%"
"2013年11月7日","2,129.40","2,136.63","2,141.60","2,119.19","8.18B","-0.48%"
"2013年11月6日","2,139.61","2,149.39","2,166.17","2,138.78","10.05B","-0.82%"
"2013年11月5日","2,157.24","2,139.84","2,158.15","2,124.85","9.19B","0.35%"
"2013年11月4日","2,149.63","2,156.09","2,160.58","2,143.21","7.61B","0.00%"
"2013年11月1日","2,149.56","2,139.88","2,157.31","2,132.63","8.91B","0.37%"
"2013年10月31日","2,141.61","2,155.51","2,155.51","2,137.47","10.81B","-0.87%"
"2013年10月30日","2,160.46","2,126.69","2,161.93","2,121.84","11.96B","1.48%"
"2013年10月29日","2,128.86","2,135.23","2,163.66","2,093.20","14.31B","-0.23%"
"2013年10月28日","2,133.87","2,135.88","2,140.96","2,123.07","8.84B","0.04%"
"2013年10月25日","2,132.96","2,163.69","2,170.61","2,122.68","11.39B","-1.45%"
"2013年10月24日","2,164.32","2,178.82","2,183.41","2,159.87","10.30B","-0.86%"
"2013年10月23日","2,183.11","2,213.27","2,226.85","2,177.72","14.63B","-1.25%"
"2013年10月22日","2,210.65","2,227.34","2,227.34","2,204.24","14.91B","-0.83%"
"2013年10月21日","2,229.24","2,198.11","2,230.28","2,190.39","13.67B","1.62%"
"2013年10月18日","2,193.78","2,188.71","2,203.29","2,184.36","10.37B","0.24%"
"2013年10月17日","2,188.54","2,201.71","2,211.03","2,183.25","12.68B","-0.21%"
"2013年10月16日","2,193.07","2,228.11","2,228.11","2,183.40","15.46B","-1.81%"
"2013年10月15日","2,233.41","2,237.93","2,240.25","2,221.14","15.37B","-0.19%"
"2013年10月14日","2,237.77","2,232.22","2,242.98","2,226.40","16.60B","0.43%"
"2013年10月11日","2,228.15","2,201.41","2,228.87","2,200.53","15.69B","1.70%"
"2013年10月10日","2,190.93","2,214.40","2,214.59","2,186.48","14.98B","-0.94%"
"2013年10月9日","2,211.77","2,191.39","2,212.35","2,185.18","13.09B","0.62%"
"2013年10月8日","2,198.20","2,171.90","2,200.02","2,161.49","12.67B","1.08%"
"2013年9月30日","2,174.66","2,167.73","2,176.30","2,165.16","9.28B","0.68%"
"2013年9月27日","2,160.03","2,150.96","2,165.78","2,149.59","10.54B","0.20%"
"2013年9月26日","2,155.81","2,192.23","2,192.23","2,154.72","14.04B","-1.94%"
"2013年9月25日","2,198.52","2,206.22","2,217.97","2,193.72","16.02B","-0.41%"
"2013年9月24日","2,207.53","2,219.47","2,219.54","2,187.24","16.04B","-0.61%"
"2013年9月23日","2,221.04","2,199.36","2,223.07","2,198.34","13.32B","1.33%"
"2013年9月18日","2,191.85","2,185.94","2,195.90","2,172.04","11.51B","0.29%"
